               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.029944,            0.012246,            0.005844,             0.87376,             0.51166,              0.5644,             0.45355,            0.036337,           0.0063948,             0.00332,           0.0083566,           0.0083566,           0.0083566
                  85,            0.028913,            0.011883,           0.0060329,             0.90307,              0.5058,             0.56447,             0.44006,             0.03474,           0.0064446,            0.003046,           0.0083368,           0.0083368,           0.0083368
                  86,            0.030469,             0.01238,           0.0057981,             0.87454,             0.49837,              0.5624,             0.42976,            0.035651,           0.0064304,           0.0033089,            0.008317,            0.008317,            0.008317
                  87,            0.028863,            0.012327,           0.0059177,             0.89929,             0.51754,             0.56673,             0.43927,            0.034609,           0.0064927,           0.0027478,           0.0082972,           0.0082972,           0.0082972
                  88,            0.029219,            0.011953,           0.0052329,             0.89003,             0.47023,             0.52419,             0.41983,            0.038337,            0.006644,           0.0039294,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028799,             0.01219,           0.0055081,             0.89711,              0.4948,             0.55944,             0.43761,            0.034965,           0.0062751,           0.0030424,           0.0082576,           0.0082576,           0.0082576
                  90,            0.028831,            0.011911,           0.0058788,             0.89069,             0.52634,             0.57933,             0.44294,            0.034327,           0.0061048,           0.0026874,           0.0082378,           0.0082378,           0.0082378
                  91,            0.028726,            0.011745,           0.0055529,             0.93509,             0.51254,             0.57972,              0.4525,            0.034122,           0.0057316,           0.0028039,            0.008218,            0.008218,            0.008218
                  92,            0.027984,             0.01139,           0.0056071,             0.92198,             0.51809,             0.58814,             0.45519,            0.033106,           0.0060532,           0.0025709,           0.0081982,           0.0081982,           0.0081982
                  93,            0.028293,            0.011448,           0.0054711,              0.8942,             0.52034,             0.57634,              0.4452,            0.033762,            0.006787,           0.0027812,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028527,            0.011794,            0.005522,             0.86175,              0.5353,             0.57546,             0.45191,            0.032919,           0.0067297,           0.0028492,           0.0081586,           0.0081586,           0.0081586
                  95,            0.028405,            0.011782,             0.00536,             0.87295,             0.53137,              0.5741,             0.44885,            0.034831,           0.0065198,           0.0032275,           0.0081388,           0.0081388,           0.0081388
                  96,            0.028976,            0.011316,           0.0055388,             0.91124,             0.50909,             0.57239,             0.44154,            0.034254,           0.0062119,            0.003279,            0.008119,            0.008119,            0.008119
                  97,            0.028601,            0.011545,           0.0059365,             0.89432,             0.50953,             0.54377,             0.43258,            0.039073,           0.0066217,           0.0035135,           0.0080992,           0.0080992,           0.0080992
                  98,            0.027726,             0.01079,           0.0057077,             0.78714,              0.5321,             0.52729,             0.41762,            0.036305,           0.0071141,            0.006395,           0.0080794,           0.0080794,           0.0080794
                  99,            0.028678,            0.011696,           0.0055228,             0.89072,             0.51091,               0.569,             0.44981,             0.03513,           0.0072751,           0.0028902,           0.0080596,           0.0080596,           0.0080596
                 100,            0.029012,            0.012288,           0.0056363,             0.86959,             0.52409,             0.57496,             0.43577,            0.033831,           0.0061292,           0.0030224,           0.0080398,           0.0080398,           0.0080398
                 101,             0.02894,            0.011476,           0.0054724,             0.81276,             0.50286,             0.54555,             0.42481,            0.034559,           0.0066111,           0.0036088,             0.00802,             0.00802,             0.00802
                 102,            0.029399,            0.011825,           0.0056332,             0.90006,             0.48998,             0.56017,             0.43238,            0.034287,             0.00648,           0.0036061,           0.0080002,           0.0080002,           0.0080002
                 103,            0.028584,            0.011881,           0.0050155,             0.90808,               0.512,             0.57473,             0.44375,            0.034253,           0.0060726,           0.0028811,           0.0079804,           0.0079804,           0.0079804
                 104,            0.028122,            0.011595,           0.0054607,             0.92683,             0.51481,              0.5796,             0.44998,            0.033396,           0.0057523,             0.00261,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028453,            0.012052,           0.0056101,             0.87595,             0.53501,             0.57512,             0.44556,             0.03541,           0.0066119,           0.0030011,           0.0079408,           0.0079408,           0.0079408
                 106,            0.028326,            0.011651,           0.0051655,             0.88143,             0.55027,             0.58899,             0.45505,            0.033477,           0.0058248,           0.0025873,            0.007921,            0.007921,            0.007921
                 107,            0.028083,            0.010927,           0.0054532,             0.91205,             0.49565,             0.56988,             0.45199,            0.033478,           0.0065922,           0.0028921,           0.0079012,           0.0079012,           0.0079012
                 108,            0.028219,            0.011528,            0.005793,             0.90209,             0.51427,              0.5794,             0.45093,            0.034076,           0.0061811,           0.0027277,           0.0078814,           0.0078814,           0.0078814
                 109,            0.028276,             0.01196,            0.005559,             0.87222,             0.42509,              0.4787,             0.40119,              0.0403,           0.0083476,           0.0073665,           0.0078616,           0.0078616,           0.0078616
                 110,            0.027894,            0.011468,           0.0050742,             0.86576,             0.52525,             0.57217,             0.45724,            0.033072,           0.0058803,           0.0028557,           0.0078418,           0.0078418,           0.0078418
                 111,             0.02732,            0.010841,           0.0049517,             0.90808,             0.51831,             0.57348,             0.45394,            0.034939,           0.0073074,           0.0031519,            0.007822,            0.007822,            0.007822
                 112,            0.027972,            0.011055,           0.0051279,             0.89886,             0.53114,             0.58619,             0.45796,            0.032582,           0.0065238,           0.0023346,           0.0078022,           0.0078022,           0.0078022
                 113,            0.028348,            0.011696,           0.0052697,             0.90647,             0.52084,             0.58462,             0.45727,            0.032909,           0.0070713,           0.0027116,           0.0077824,           0.0077824,           0.0077824
                 114,             0.02748,            0.011083,           0.0055694,             0.87754,             0.52329,             0.57117,             0.45138,            0.033027,           0.0069782,           0.0030066,           0.0077626,           0.0077626,           0.0077626
                 115,            0.027739,            0.011508,           0.0058848,             0.92581,             0.51062,             0.58711,             0.45488,            0.032415,           0.0061591,           0.0024592,           0.0077428,           0.0077428,           0.0077428
                 116,             0.02788,            0.011339,           0.0049891,              0.8732,             0.54038,             0.57996,             0.45853,            0.031923,            0.006024,           0.0027998,            0.007723,            0.007723,            0.007723
                 117,            0.027465,              0.0108,           0.0050633,             0.92557,             0.50103,             0.57577,             0.45133,               0.033,           0.0069309,           0.0030968,           0.0077032,           0.0077032,           0.0077032
                 118,             0.02763,            0.011138,           0.0053195,             0.90379,             0.52922,             0.58159,             0.45412,            0.033055,           0.0066533,           0.0027119,           0.0076834,           0.0076834,           0.0076834
                 119,            0.027491,            0.011108,            0.005397,             0.90951,             0.52497,             0.58145,             0.45785,            0.032333,           0.0063211,           0.0026563,           0.0076636,           0.0076636,           0.0076636
                 120,            0.027666,            0.010974,           0.0054333,             0.91657,             0.50579,             0.57744,             0.45644,            0.033656,            0.006617,           0.0026926,           0.0076438,           0.0076438,           0.0076438
                 121,            0.027703,            0.011293,           0.0054196,             0.91378,              0.5277,             0.59208,              0.4709,             0.03143,           0.0062902,           0.0025515,            0.007624,            0.007624,            0.007624
                 122,            0.027874,            0.011668,           0.0048589,             0.88922,             0.52215,              0.5824,             0.46237,            0.032473,           0.0057386,           0.0027981,           0.0076042,           0.0076042,           0.0076042
                 123,            0.027228,            0.010692,           0.0051227,             0.90274,             0.53641,             0.59258,             0.46251,            0.032745,            0.006024,           0.0025687,           0.0075844,           0.0075844,           0.0075844
                 124,            0.027761,            0.011508,           0.0053185,             0.88578,             0.54586,             0.59075,             0.45866,            0.033876,           0.0061987,           0.0026769,           0.0075646,           0.0075646,           0.0075646
                 125,            0.027412,            0.011511,           0.0052838,              0.9433,             0.50057,             0.58284,               0.452,            0.032315,           0.0072309,           0.0025247,           0.0075448,           0.0075448,           0.0075448
                 126,            0.026763,             0.01138,           0.0046566,             0.88883,             0.52757,             0.59096,             0.46001,            0.032346,           0.0066041,           0.0027311,            0.007525,            0.007525,            0.007525
                 127,            0.026898,            0.010938,           0.0046644,             0.89604,              0.5101,             0.55771,             0.44253,            0.035425,           0.0071662,           0.0033643,           0.0075052,           0.0075052,           0.0075052
                 128,            0.027141,            0.011223,           0.0049144,             0.85263,             0.49421,             0.55435,             0.42267,            0.033525,           0.0063635,           0.0044097,           0.0074854,           0.0074854,           0.0074854
                 129,            0.026924,            0.011274,           0.0052481,             0.92941,             0.51884,             0.60453,             0.48916,            0.031805,           0.0059923,           0.0024828,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027428,            0.010881,           0.0047857,             0.90983,             0.51392,             0.57471,             0.44794,            0.033648,           0.0061057,           0.0028097,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027617,            0.011807,           0.0051716,             0.91491,              0.5111,             0.56977,             0.44922,            0.033514,           0.0068822,           0.0028576,            0.007426,            0.007426,            0.007426
                 132,            0.026343,            0.010936,           0.0046542,             0.91107,             0.51975,             0.56769,             0.44971,            0.033509,           0.0065902,           0.0032634,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027407,            0.011562,           0.0054917,              0.9035,             0.54197,             0.58827,             0.46714,             0.03152,           0.0071275,           0.0028645,           0.0073864,           0.0073864,           0.0073864
                 134,            0.026904,            0.011646,           0.0049407,             0.88542,             0.55175,             0.58313,             0.46175,            0.032393,           0.0068683,           0.0027144,           0.0073666,           0.0073666,           0.0073666
                 135,            0.026499,             0.01122,           0.0047829,             0.88835,              0.5481,             0.59218,             0.47183,            0.032052,           0.0063766,           0.0024954,           0.0073468,           0.0073468,           0.0073468
                 136,            0.026963,            0.011428,            0.005099,             0.93944,               0.474,             0.57015,              0.4483,            0.033656,           0.0071301,           0.0029711,            0.007327,            0.007327,            0.007327
                 137,            0.026882,            0.010972,           0.0051452,             0.87886,             0.53961,             0.58768,             0.46111,            0.032652,           0.0065504,           0.0025557,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027283,            0.011074,           0.0051143,              0.9194,             0.52573,             0.59343,             0.46443,            0.031865,           0.0069583,           0.0026905,           0.0072874,           0.0072874,           0.0072874
                 139,            0.026711,            0.011028,           0.0043554,             0.91652,              0.5375,             0.59853,             0.47064,            0.032041,           0.0066763,           0.0024086,           0.0072676,           0.0072676,           0.0072676
                 140,            0.026884,            0.010982,           0.0048977,             0.92279,             0.50839,             0.57792,             0.46423,             0.03193,           0.0066411,           0.0025541,           0.0072478,           0.0072478,           0.0072478
                 141,             0.02678,            0.011107,           0.0049631,             0.89623,             0.54296,             0.59779,             0.47374,            0.031731,           0.0067831,           0.0027872,            0.007228,            0.007228,            0.007228
                 142,            0.027384,            0.011357,           0.0048221,             0.89578,             0.54788,             0.59708,              0.4715,            0.031337,           0.0071239,           0.0025043,           0.0072082,           0.0072082,           0.0072082
                 143,            0.026988,            0.011125,           0.0047878,             0.93204,             0.51892,             0.65926,             0.52735,             0.03141,           0.0063487,           0.0024248,           0.0071884,           0.0071884,           0.0071884
                 144,            0.026193,            0.010999,           0.0049993,             0.94131,             0.52611,             0.60379,             0.46845,            0.031284,           0.0065155,           0.0024042,           0.0071686,           0.0071686,           0.0071686
                 145,             0.02682,            0.011185,           0.0046882,             0.92115,             0.51076,             0.58437,             0.45629,            0.032586,           0.0068126,           0.0028898,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027223,            0.010995,           0.0048844,             0.92832,             0.52672,             0.59382,             0.46408,            0.032145,           0.0068721,           0.0026447,            0.007129,            0.007129,            0.007129
                 147,            0.026257,            0.010803,           0.0047207,             0.91336,             0.51524,             0.58089,             0.46157,            0.032389,             0.00665,           0.0027067,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026202,            0.011126,           0.0048178,             0.92054,              0.5326,             0.59787,             0.46639,            0.032379,           0.0062782,           0.0025849,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026495,            0.011575,           0.0049309,             0.91659,             0.53761,             0.59694,             0.46258,            0.031385,           0.0061605,           0.0022395,           0.0070696,           0.0070696,           0.0070696
                 150,            0.027265,            0.011211,             0.00494,             0.92526,             0.49638,             0.57038,             0.44527,            0.034353,           0.0065451,           0.0026479,           0.0070498,           0.0070498,           0.0070498
                 151,            0.026434,            0.010979,           0.0052162,             0.88825,             0.52572,             0.60891,             0.48211,            0.033676,           0.0067929,             0.00289,             0.00703,             0.00703,             0.00703
                 152,            0.026791,            0.011027,           0.0047332,             0.92295,             0.51132,             0.57654,             0.45372,            0.034476,           0.0068478,           0.0032957,           0.0070102,           0.0070102,           0.0070102
                 153,            0.026045,            0.010959,           0.0048863,             0.92045,             0.49738,             0.56558,             0.44709,            0.032331,           0.0070731,            0.002812,           0.0069904,           0.0069904,           0.0069904
                 154,            0.026698,            0.010938,           0.0050071,             0.91113,             0.53077,              0.5958,              0.4669,            0.032033,           0.0068274,           0.0024154,           0.0069706,           0.0069706,           0.0069706
